,Element-type,Size,Shape,Data-type
AwakeEventData/PMOTOR06,Group,,,
AwakeEventData/PMOTOR06/Acquisition,Group,,,
AwakeEventData/PMOTOR06/Acquisition/position,Dataset,1,"(1,)",int32
AwakeEventData/PMOTOR13,Group,,,
AwakeEventData/PMOTOR13/Acquisition,Group,,,
AwakeEventData/PMOTOR13/Acquisition/position,Dataset,1,"(1,)",int32
AwakeEventData/PMOTOR14,Group,,,
AwakeEventData/PMOTOR14/Acquisition,Group,,,
AwakeEventData/PMOTOR14/Acquisition/position,Dataset,1,"(1,)",int32
AwakeEventData/PMOTOR15,Group,,,
AwakeEventData/PMOTOR15/Acquisition,Group,,,
AwakeEventData/PMOTOR15/Acquisition/position,Dataset,1,"(1,)",int32
AwakeEventData/PMOTOR16,Group,,,
AwakeEventData/PMOTOR16/Acquisition,Group,,,
AwakeEventData/PMOTOR16/Acquisition/position,Dataset,1,"(1,)",int32
AwakeEventData/Plunger.412401,Group,,,
AwakeEventData/Plunger.412401/StartCounterSt,Group,,,
AwakeEventData/Plunger.412401/StartCounterSt/value,Dataset,1,"(1,)",int32
AwakeEventData/Plunger.412401/State,Group,,,
AwakeEventData/Plunger.412401/State/value,Dataset,1,"(1,)",int16
AwakeEventData/Plunger.412422,Group,,,
AwakeEventData/Plunger.412422/StartCounterSt,Group,,,
AwakeEventData/Plunger.412422/StartCounterSt/value,Dataset,1,"(1,)",int32
AwakeEventData/Plunger.412422/State,Group,,,
AwakeEventData/Plunger.412422/State/value,Dataset,1,"(1,)",int16
AwakeEventData/RADMON.AWAKE-1,Group,,,
AwakeEventData/RADMON.AWAKE-1/Acquisition,Group,,,
AwakeEventData/RADMON.AWAKE-1/Acquisition/SEUType1,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/SEUType2,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank1HadronFluence,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank1MBUCounts,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank1SEUCounts,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank2HadronFluence,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank2MBUCounts,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank2SEUCounts,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumNeutronFluence,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumTID1,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumTID2,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/lPar1,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/lPar2,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/lPar3,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/lParType,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/pinDiodeType,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/radfet1Type,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/radfet2Type,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/radmonStatus,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/revisionNumber,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/revisionType,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2,Group,,,
AwakeEventData/RADMON.AWAKE-2/Acquisition,Group,,,
AwakeEventData/RADMON.AWAKE-2/Acquisition/SEUType1,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/SEUType2,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank1HadronFluence,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank1MBUCounts,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank1SEUCounts,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank2HadronFluence,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank2MBUCounts,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank2SEUCounts,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumNeutronFluence,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumTID1,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumTID2,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/lPar1,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/lPar2,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/lPar3,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/lParType,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/pinDiodeType,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/radfet1Type,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/radfet2Type,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/radmonStatus,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/revisionNumber,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/revisionType,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3,Group,,,
AwakeEventData/RADMON.AWAKE-3/Acquisition,Group,,,
AwakeEventData/RADMON.AWAKE-3/Acquisition/SEUType1,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/SEUType2,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank1HadronFluence,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank1MBUCounts,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank1SEUCounts,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank2HadronFluence,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank2MBUCounts,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank2SEUCounts,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumNeutronFluence,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumTID1,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumTID2,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/lPar1,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/lPar2,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/lPar3,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/lParType,Dataset,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/pinDiodeType,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/radfet1Type,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/radfet2Type,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/radmonStatus,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/revisionNumber,Dataset,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/revisionType,Dataset,1,"(1,)",int32
AwakeEventData/RPADA.BB4.RQNI.412432,Group,,,
AwakeEventData/RPADA.BB4.RQNI.412432/MEAS.I,Dataset,1,"(1,)",float32
AwakeEventData/RPADA.BB4.RQNI.412432/REF.I,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.412344,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412344/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412344/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.412345,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412345/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412345/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.412347,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412347/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412347/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.412349,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412349/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412349/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.412353,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412353/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412353/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.430011,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430011/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430011/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.430029,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430029/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430029/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.430040,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430040/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430040/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.430104,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430104/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430104/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.430130,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430130/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430130/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.430204,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430204/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430204/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.430309,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430309/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430309/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.412344,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412344/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412344/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.412345,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412345/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412345/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.412347,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412347/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412347/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.412349,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412349/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412349/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.412353,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412353/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412353/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.430011,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430011/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430011/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.430029,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430029/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430029/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.430040,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430040/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430040/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.430104,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430104/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430104/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.430130,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430130/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430130/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.430204,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430204/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430204/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.430309,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430309/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430309/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQID.412344,Group,,,
AwakeEventData/RPCAH.TSG4.RQID.412344/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RQID.412344/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQID.412347,Group,,,
AwakeEventData/RPCAH.TSG4.RQID.412347/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RQID.412347/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQID.430031,Group,,,
AwakeEventData/RPCAH.TSG4.RQID.430031/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RQID.430031/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQID.430037,Group,,,
AwakeEventData/RPCAH.TSG4.RQID.430037/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RQID.430037/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQID.430109S,Group,,,
AwakeEventData/RPCAH.TSG4.RQID.430109S/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RQID.430109S/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQIF.412346,Group,,,
AwakeEventData/RPCAH.TSG4.RQIF.412346/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RQIF.412346/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQIF.430034,Group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430034/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430034/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQIF.430118,Group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430118/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430118/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQIF.430205,Group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430205/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430205/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQIF.430311,Group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430311/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430311/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPPEF.BB4.RBIH.412435,Group,,,
AwakeEventData/RPPEF.BB4.RBIH.412435/MEAS.I,Dataset,1,"(1,)",float32
AwakeEventData/RPPEF.BB4.RBIH.412435/REF.I,Dataset,1,"(1,)",float32
AwakeEventData/RPSKN.TSG4.SNH.430000,Group,,,
AwakeEventData/RPSKN.TSG4.SNH.430000/Acquisition,Group,,,
AwakeEventData/RPSKN.TSG4.SNH.430000/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/RPSKN.TSG4.SNJ.430001,Group,,,
AwakeEventData/RPSKN.TSG4.SNJ.430001/Acquisition,Group,,,
AwakeEventData/RPSKN.TSG4.SNJ.430001/Acquisition/currentAverage,Dataset,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.41435,Group,,,
AwakeEventData/SPS.BCTDC.41435/Acquisition,Group,,,
AwakeEventData/SPS.BCTDC.41435/Acquisition/acqDesc,Dataset,1,"(1,)",|S1
AwakeEventData/SPS.BCTDC.41435/Acquisition/acqMsg,Dataset,1,"(1,)",|S32
AwakeEventData/SPS.BCTDC.41435/Acquisition/acqState,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/acqTime,Dataset,1,"(1,)",|S25
AwakeEventData/SPS.BCTDC.41435/Acquisition/calMarkerData,Dataset,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.41435/Acquisition/cycleTime,Dataset,1,"(1,)",|S1
AwakeEventData/SPS.BCTDC.41435/Acquisition/dumpCycleTime,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/dumpInt,Dataset,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/inCheckStatusData,Dataset,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.41435/Acquisition/lowIbStatusData,Dataset,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.41435/Acquisition/measStamp,Dataset,940,"(940,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/measStamp_unit,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/measStamp_unitExponent,Dataset,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/nbOfAdcData,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/nbOfMeas,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/range1Data,Dataset,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.41435/Acquisition/range2Data,Dataset,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.41435/Acquisition/range3Data,Dataset,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.41435/Acquisition/range4Data,Dataset,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.41435/Acquisition/samplingTime,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/sbfCycleTime,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/sbfIntensity,Dataset,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/selectedRange,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/slowCycleTime,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/slowExtInt,Dataset,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/superCycleNb,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/totalIntensity,Dataset,940,"(940,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/totalIntensity4Ranges,Dataset,4480,"(4, 1120)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/totalIntensity_unit,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/totalIntensity_unitExponent,Dataset,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/vmodStatus,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895,Group,,,
AwakeEventData/SPS.BCTDC.51895/Acquisition,Group,,,
AwakeEventData/SPS.BCTDC.51895/Acquisition/acqDesc,Dataset,1,"(1,)",|S1
AwakeEventData/SPS.BCTDC.51895/Acquisition/acqMsg,Dataset,1,"(1,)",|S32
AwakeEventData/SPS.BCTDC.51895/Acquisition/acqState,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/acqTime,Dataset,1,"(1,)",|S25
AwakeEventData/SPS.BCTDC.51895/Acquisition/calMarkerData,Dataset,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/cycleTime,Dataset,1,"(1,)",|S1
AwakeEventData/SPS.BCTDC.51895/Acquisition/dumpCycleTime,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/dumpInt,Dataset,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/inCheckStatusData,Dataset,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/lowIbStatusData,Dataset,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/measStamp,Dataset,940,"(940,)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/measStamp_unit,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/measStamp_unitExponent,Dataset,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/monitorArray1,Dataset,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/monitorArray2,Dataset,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/nbOfAdcData,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/nbOfMeas,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/range1Data,Dataset,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/range2Data,Dataset,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/range3Data,Dataset,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/range4Data,Dataset,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/samplingTime,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/sbfCycleTime,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/sbfIntensity,Dataset,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/selectedRange,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/slowCycleTime,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/slowExtInt,Dataset,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/superCycleNb,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/totalIntensity,Dataset,940,"(940,)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/totalIntensity4Ranges,Dataset,4480,"(4, 1120)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/totalIntensity_unit,Dataset,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/totalIntensity_unitExponent,Dataset,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/vmodStatus,Dataset,1,"(1,)",int32
AwakeEventData/SPSBQMSPSv1,Group,,,
AwakeEventData/SPSBQMSPSv1/Acquisition,Group,,,
AwakeEventData/SPSBQMSPSv1/Acquisition/beamOk,Dataset,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/bqmOutputEnable,Dataset,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensities,Dataset,288,"(288,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityMax,Dataset,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityMaxThr,Dataset,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityMean,Dataset,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityMin,Dataset,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityMinThr,Dataset,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityModIndex,Dataset,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityModIndexOk,Dataset,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityModIndexThr,Dataset,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityOk,Dataset,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityStd,Dataset,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMax,Dataset,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMaxThr,Dataset,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMean,Dataset,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMin,Dataset,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMinThr,Dataset,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthOk,Dataset,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthStd,Dataset,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthStdOk,Dataset,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthStdThr,Dataset,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengths,Dataset,288,"(288,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakMax,Dataset,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakMaxThr,Dataset,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakMean,Dataset,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakMin,Dataset,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakMinThr,Dataset,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakOk,Dataset,1,(),bool
